"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US12005","Bay County, Florida","1179","47770",
"0500000US12007","Bradford County, Florida","2609","41126",
"0500000US12009","Brevard County, Florida","841","49523",
"0500000US12011","Broward County, Florida","461","51694",
"0500000US12013","Calhoun County, Florida","6622","31699",
"0500000US12015","Charlotte County, Florida","1157","45037",
"0500000US12017","Citrus County, Florida","957","37933",
"0500000US12019","Clay County, Florida","1255","61185",
"0500000US12021","Collier County, Florida","1409","58106",
"0500000US12023","Columbia County, Florida","2543","38214",
"0500000US12027","DeSoto County, Florida","1645","35979",
"0500000US12029","Dixie County, Florida","2615","32312",
"0500000US12031","Duval County, Florida","578","49463",
"0500000US12033","Escambia County, Florida","982","43573",
"0500000US12035","Flagler County, Florida","1521","48090",
"0500000US12037","Franklin County, Florida","3176","36490",
"0500000US12039","Gadsden County, Florida","3152","35728",
"0500000US12041","Gilchrist County, Florida","5693","37039",
"0500000US12043","Glades County, Florida","3776","39429",
"0500000US12045","Gulf County, Florida","3100","39178",
"0500000US12047","Hamilton County, Florida","3384","37613",
"0500000US12049","Hardee County, Florida","3630","37466",
"0500000US12051","Hendry County, Florida","3997","37298",
"0500000US12053","Hernando County, Florida","955","42011",
"0500000US12055","Highlands County, Florida","1100","34946",
"0500000US12057","Hillsborough County, Florida","530","49536",
"0500000US12059","Holmes County, Florida","2360","32247",
"0500000US12061","Indian River County, Florida","1249","47341",
"0500000US12063","Jackson County, Florida","1700","38257",
"0500000US12065","Jefferson County, Florida","5204","41359",
"0500000US12067","Lafayette County, Florida","8156","46445",
"0500000US12069","Lake County, Florida","905","46477",
"0500000US12071","Lee County, Florida","554","50014",
"0500000US12073","Leon County, Florida","986","44490",
"0500000US12075","Levy County, Florida","1992","35737",
"0500000US12077","Liberty County, Florida","6131","40777",
"0500000US12079","Madison County, Florida","4300","37459",
"0500000US12081","Manatee County, Florida","986","47812",
"0500000US12083","Marion County, Florida","645","40339",
"0500000US12085","Martin County, Florida","2035","53210",
"0500000US12086","Miami-Dade County, Florida","430","43605",
"0500000US12087","Monroe County, Florida","1818","53821",
"0500000US12089","Nassau County, Florida","3276","58712",
"0500000US12091","Okaloosa County, Florida","1193","54242",
"0500000US12093","Okeechobee County, Florida","3410","38339",
"0500000US12095","Orange County, Florida","460","50138",
"0500000US12097","Osceola County, Florida","907","46328",
"0500000US12099","Palm Beach County, Florida","480","53242",
"0500000US12101","Pasco County, Florida","666","44228",
"0500000US12103","Pinellas County, Florida","514","45258",
