"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0500000US13199","Meriwether County, Georgia","36368","4391",
"0500000US13201","Miller County, Georgia","37255","4203",
"0500000US13205","Mitchell County, Georgia","34122","3218",
"0500000US13207","Monroe County, Georgia","50666","4524",
"0500000US13209","Montgomery County, Georgia","40308","2678",
"0500000US13211","Morgan County, Georgia","59572","5141",
"0500000US13213","Murray County, Georgia","41617","2282",
"0500000US13215","Muscogee County, Georgia","43239","1433",
"0500000US13217","Newton County, Georgia","52784","2372",
"0500000US13219","Oconee County, Georgia","77388","4806",
"0500000US13221","Oglethorpe County, Georgia","43938","1739",
"0500000US13223","Paulding County, Georgia","63669","2428",
"0500000US13225","Peach County, Georgia","43645","3747",
"0500000US13227","Pickens County, Georgia","61542","3961",
"0500000US13229","Pierce County, Georgia","39863","6160",
"0500000US13231","Pike County, Georgia","52377","5466",
"0500000US13233","Polk County, Georgia","40652","2098",
"0500000US13235","Pulaski County, Georgia","38750","4970",
"0500000US13237","Putnam County, Georgia","48340","3802",
"0500000US13239","Quitman County, Georgia","26750","7840",
"0500000US13241","Rabun County, Georgia","39297","3217",
"0500000US13243","Randolph County, Georgia","30640","3901",
"0500000US13245","Richmond County, Georgia","39430","1339",
"0500000US13247","Rockdale County, Georgia","54175","1805",
"0500000US13249","Schley County, Georgia","41267","4344",
"0500000US13251","Screven County, Georgia","36556","3573",
"0500000US13253","Seminole County, Georgia","33999","2155",
"0500000US13255","Spalding County, Georgia","42398","2062",
"0500000US13257","Stephens County, Georgia","39756","3790",
"0500000US13259","Stewart County, Georgia","22413","3522",
